Vegetation Cover,NO3,NH4,P,K,SO4,B,Organic Matter,pH,Zn,Cu,Fe,Ca,Mg,Na
100,23,2.25,101,32,12,0.71,0.96,7.8,1.7,0.3,4,6.6,0.8,0.12
95,6,0.75,58,10,7,0.27,0.3,8.2,0.8,0.1,1,5,0.5,0.07
98,7.25,1,115,8,10,0.56,0.62,7.9,1.4,0.2,2,5.2,0.4,0.04
100,21,1.25,130,30,13,0.78,1.04,7.9,1.8,0.3,2,6.1,0.7,0.1
15,1.75,0.5,17,4,6,0.25,0.1,8.8,0.3,0.1,1,4.7,0.5,0.1
45,2,0.75,40,8,6,0.24,0.22,8.3,0.9,0.1,1,4.9,0.5,0.09
45,1.5,0.25,21,12,5,0.2,0.08,8.7,0.3,0.1,1,5.7,0.4,0.08
70,14.75,0.75,53,12,8,0.18,0.41,8.3,0.8,0.1,1,5.6,0.4,0.07
100,12.75,2,72,15,10,0.64,0.45,8,1.2,0.2,2,5.6,0.5,0.08
100,18.5,1.75,47,21,7,0.29,0.28,8.3,0.6,0.1,1,5.9,0.5,0.11
80,6.25,1.25,46,17,10,0.26,0.13,8.5,0.5,0.1,1,6.6,0.4,0.09
99,7.5,1,58,13,6,0.27,0.36,8.1,0.7,0.1,1,5.2,0.4,0.04
90,2,0.75,31,12,6,0.22,0.55,8.7,0.3,0.1,1,5.7,0.4,0.05
90,3.25,1.25,41,10,6,0.22,0.54,8.6,0.4,0.1,1,5.3,0.4,0.07
80,2.25,1.5,56,7,5,0.26,0.9,8.6,0.4,0.1,1,6,0.4,0.05
85,4,0.75,41,4,6,0.23,0.1,8.7,0.4,0.1,1,5.5,0.4,0.04
55,9.25,2.25,11,10,10,0.55,0.77,7.9,1.6,0.4,2,5.2,0.5,0.08
98,22.5,2,95,13,11,0.54,0.83,7.7,1.3,0.2,1,5.9,0.6,0.1
45,8,2,64,7,8,0.2,0.35,8.1,0.5,0.1,1,4.5,0.4,0.04
98,16,2,114,17,12,0.81,1.78,7.8,1.7,0.3,2,6.6,0.6,0.11
